name,description,status,created,ministry
JSB Child Support Recalculation Services,The JSB Chile Support Recalculation services portal will host eligibility assessment questionnaire and enable users to upload documents related to child support cases.,active,2021-10-27T00:03:41.757Z,AG
CSB Secure File Transfer,"The Court Services Branch Secure File Transfer project will provide services that allow the secure movement of Justice and Public Safety documents amongst the various actors within the sector. These services provide the ability to securely move files via API, GUI and Federation with other Secure File Transfer services. ",active,2021-07-20T09:16:02.378Z,AG
WHIS,"The Wildlife Health Information System (WHIS) is a key information technology component of the B.C. Wildlife Health Program, which aims to improve our understanding of factors affecting wild animal health in Britisih Columbia. The data housed in this system will be used to explore the effects of diseases and parasites upon animal populations over time, and to show how such changes relate to changes in the environment.",active,2021-10-15T01:17:37.745Z,ENV
WALLY,"Water data and hydrological modeling to support water allocation decision making. ",active,2021-03-18T05:07:07.815Z,ENV
BC Employment and Assistance Forecast,SDPR Research Branch web application for comparisons and analysis of numerous predictive models with regards to the BC Employment and Assistance program caseload for consumption by SDPR Executive and FASB.  This will be a Meteor web application.,active,2021-10-23T04:40:17.474Z,SDPR
BCDC,The BC Data Catalogue is the provincial government's leading source of governmental data sets.,active,2021-01-06T08:16:23.862Z,CITZ
CITZ DST capstone 2021,"A dashboard for Quarterly Reports ",active,2021-04-29T23:10:04.991Z,CITZ
WIST,A test drive of the openshift environment to evaluate fit for future WIST related projects,active,2021-04-09T04:17:28.414Z,AEST
Dormant Site Reclamation Program,Dormant Sites Reclamation Program offers opportunities for oil and natural gas service sector contractors in British Columbia to apply for a financial contribution to undertake and complete work on dormant site reclamation.,active,2021-04-22T00:39:44.887Z,FLNR
Corporate Recognition,"A suite of applications for corporate recognition programs administered by the Public Service Agency (e.g. Premier's Awards, Long Service Awards, Service Pins)",active,2021-06-03T22:45:12.071Z,PSA
Digital Journeys,PSA Forms system,active,2021-12-18T02:31:23.038Z,PSA
Lobbyist Registration System,The Lobbyist Registration System is a web based application using Java J2EE that allows for the creation and management of lobbying reports as per the Lobbyists Transparency Act,active,2021-03-12T08:41:13.405Z,AG
RSBC Integrated Digital Ecosystem,"Road Safety BC (RSBC) Integrated Digital Ecosystem will be used to provide an integrated ecosystem with a collection of API and assets that can be used by business applications in RSBC. The plan is to provide these as a common services that are not limited to just eTicketing and Digital forms but can be exposed to other applications within RSBC.  ",active,2021-02-12T16:54:55.648Z,PSSG
ORBC,Commercial Vehicle Permitting System,active,2021-10-07T00:27:10.996Z,TRAN
BCROS MHR,Mobile home registration site,active,2021-08-13T22:52:44.571Z,CITZ
Superior Courts Judiciary Court Viewer,"The Superior Courts Viewer is an initiative to provide Court resources with more efficient and effective access to case details. This is an online application that facilitates, and streamlines viewing of case details and documents by providing electronic access to these artifacts. ",active,2021-03-12T08:19:02.176Z,AG
Geomark,"Geomark is used to mark geographic extent of the proposed activity on a map via polygon shapes. Major clients are FLNROD, FrontCounter BC, eReferral. 
Tools contains pipeline
Test contains integration test build
Dev contains stable build
Prod is not used, as we deploy to alkaid",active,2021-11-17T00:40:45.290Z,CITZ
CSB Courts Digital Display System,"The Courts Digital Display System (CDDS) is a Web Application that connects with JUSTIN and CEIS to display today's list of Provincial and Supreme court appearances at a courthouse that hears provincial matters, by room. CDDS is available in a web browser view and is also displayed on TVs at select courthouses.",active,2021-07-29T15:04:23.539Z,AG
Health Gateway POC,"A project set for Health Gateway for deployment of proof of concepts and other future services for BC residents to manage their health care. ",active,2021-07-10T07:07:17.112Z,HLTH
My Keycloak Custom Realm Profile,This application provides the Pathfinder SSO team with access to a client roster helping us connect with our clients making use of Custom Keycloak Realms,active,2021-10-19T05:04:07.649Z,CITZ
Curriculum Web Service,A web service for BC Curriculum,active,2021-03-13T03:59:15.278Z,EDUC
MOHPIDP,"Ministry of Health Provider Identity Portal. A system for registering, enrolling, and being provisioned into health systems",active,2021-11-23T08:46:11.423Z,HLTH
ITVR,"Income Test Verification Rebate programme ",active,2022-01-14T02:45:18.559Z,EMPR
Forestry Worker Jobs,Labour Forestry Worker Job Coordination Program to help impacted workers find jobs by matching their skills to new employment.,active,2021-04-16T04:52:50.934Z,LBR
BC Geographical Names Web Service,The BC Geographical Names Web Service (BCGNWS) offers searchable access to geographical names of British Columbia sourced from the BC Geographical Names Information System. https://github.com/bcgov-dss/loc-tools/blob/main/app-playbooks/BCGNWS/,active,2021-04-21T04:58:09.725Z,CITZ
Water Notations Data Pipeline,"A postgres database that will host a copy of the freshwater atlas, and various analytical functions that are used to perform queries (analysis) on linear networks (rivers and streams).  A cronjob will exist that will pull stream notation data from the BC geographic warehouse, load it to the database run an analysis and then copy the results of the data to object storage.",active,2021-05-17T22:44:00.401Z,FLNR
CSB Court Clerk Display Integration,"CCD is used in live court sessions by court clerks to capture an audio recording of court hearings, to create a time stamped hearing log sheet of hearing events, and to pull and push data entries in court case tracking databases. This integration service integrates the CCD application with CEIS and JUSTIN databases.",active,2021-09-06T01:58:36.320Z,AG
CRD Bike Count,Map based visualization of the bicycle volumes at various checkpoints throughout the Capital Regional District,active,2021-03-30T01:25:47.864Z,CITZ
JUSTIN API services,"The JUSTIN API Services is a set of APIs that allow programatic access to data within the JUSTIN IT system, such as allowing disputes to be registered in the JUSTIN system of record, or fetching court lists. ",active,2021-05-27T04:17:25.004Z,AG
BCROS ANALYTICS,Namespace to provide analytics from our cloud platform apps.,active,2021-04-30T22:45:36.401Z,CITZ
WRF,"Weather Research Forecasting (WRF) is a simple geographic front end to meteorological data that is being maintained in object storage.  The app will use a leaflet based web map with a grid of the various meteorological cells, the user will, click on the map, select a bounding box size and date range.  The app will then bundle up the requested data and provide to the user.",active,2021-08-06T00:21:13.301Z,FLNR
Enterpris Hosting Architecture Team Test,This is a test project set for John Ruperto from the architecture team in Enterprise Hosting.,active,2021-08-17T01:08:42.894Z,CITZ
intranet Website  CMF,Hosting of the intranet.gov.bc.ca site as part of the CMF (Content Management Framework),active,2021-09-16T00:10:33.117Z,CITZ
PSP,"The purpose of the Property Services Project (PSP) is to implement a solution that will record, track and manage
information about all property interests of MoTI BCTFA and enable efficient operation of the Ministry's associated property business processes.",active,2021-01-13T05:25:55.341Z,TRAN
CleanBC Industry Fund,A suite of digital tools supporting the CleanBC Industry Fund,active,2021-10-04T23:17:13.079Z,ENV
CS IMIT Portal,The main Corporate Services Information Management / Information Technology Portal for staff,active,2021-10-26T05:48:09.671Z,CITZ
BC Wildfire Public Mobile,"An unsecured mobile application that the public can visualize important information based on their current location. Data might include fire perimeters, orders and alerts, bans and restrictions, highway closures etc..

The application will provide situational awareness to the public. Only data that is classified as public will be shared via this application. 

Project make use of OCP for CI and CD aspects for application deployment.

Migrating from OCP3
Targeting February 26 for migration completion.

",active,2021-02-02T03:28:45.806Z,FLNR
SBC PAY,"Application housing the payment services that are used by the other service BC applications.
",active,2021-02-03T07:17:20.798Z,CITZ
Repomountie,The repo mountie is a bot to help mange cultural policies relevant to our GitHub organization.,active,2021-01-30T06:29:53.003Z,CITZ
FSAAPI,Forestry Services Applications API,active,2022-01-28T03:08:32.363Z,FLNR
School Bus Inspection System,"The School Bus application tracks that inspections are performed in a timely fashion. For each school bus, the application tracks information about the bus (including data from ICBC, NSC, etc.), it's past and next inspection dates and results, contacts, and the inspector responsible for next inspecting the bus.",active,2021-02-11T03:42:32.861Z,TRAN
OCWA,Output Checking Workflow Application,active,2021-02-18T06:33:41.193Z,CITZ
CSB Representation Grant,"Court Services Branch Representation Grant is an interactive online application to walk a user through plain language questions to apply for a representation grant.

(OCP3 Migration)",active,2021-02-08T17:46:43.776Z,AG
OIDCSSO,This is for the Pathfinder SSO Keycloak instance on GOLD,active,2022-01-06T03:41:33.539Z,CITZ
ACS Policy Testing,"For testing out ACS policies before we break things in Silver.
Nick and Ryan fun",active,2022-02-04T08:24:40.414Z,AG
AG PSSG JADE Platform,AG PSSG JADE Platform is the Integration Services Platform for the Justice and Public Safety sector. This platform will be used to provide integration services within the sector using the Red Hat Integration Operators,active,2022-02-24T08:25:09.237Z,AG
CSB Role Registry Integration,CSB Role Registry Integration is part of Court Services Online serving as an integration point to access what roles applications and individuals are permitted.,active,2021-12-23T07:22:11.158Z,AG
ELMSD Analytics,A collection of analytics tools for ELMSD Analytics team,active,2022-02-17T01:28:52.356Z,SDPR
RocketChat DR,The RocketChat application is used to facilitate fast and effective communication among the growing community of teams utilizing the OpenShift Container Platform.,active,2021-08-25T06:36:00.130Z,CITZ
TACGM,"The Tourism Sector Strategy Division (Tourism Division) within the B.C. Ministry of Tourism, Arts, Culture and Sport (TACS) is responsible for supporting COVID 19 recovery efforts in B.C. 

Recently, a large part of the division's responsibilities have been developing, administering, and managing COVID 19 recovery funding grants. The Tourism Division managed grant programs with a combination of fillable PDFs and Excel.",active,2022-02-09T10:14:31.528Z,TCA
New Job Survey,"The New Job Survey is an administration tool that collects information from recent hires within the BC Public Service ",active,2021-07-06T06:06:19.309Z,CITZ
TIDDCMS,A scalable CMS platform for Trade and Industry Development Division promoting BC around the world,active,2022-02-15T04:53:38.910Z,JEDC
Connectivity Intake,"Intake application for OCIO Connectivity funding program. ",active,2021-12-24T04:53:25.144Z,CITZ
Education Data Exchange,"New project for secure transfer of documents between schools and the education Ministry. ",active,2022-01-18T06:54:10.159Z,EDUC
ABI toolset,"Toolsets for The Analytics and Business Intelligence team provides the Service Delivery Division with operational, performance and business intelligence data reporting and scheduling and workload management and analysis based on a variety of data sources and tools.",active,2022-02-01T08:21:06.191Z,SDPR
OIDCDEVSSO,This is for the Pathfinder SSO DEV Keycloak instance on GOLD,active,2022-01-06T04:59:49.581Z,CITZ
DIO registry,Tool to help teams explore and discover resources to build new digital services,active,2022-02-10T09:16:16.775Z,CITZ
JSB OSPG Application,The Justice Services Branch (JSB) OSPG Application is the Office of the Superintendent of Professional Governance (OSPG) application that will help this business area track cases (topics of concern) and communications received for a specific issued. OSPG is responsible for oversight of systemic or general matters relating to professional governance of the regulatory bodies under the Professional Governance Act (PGA) and acting to protect the public interest.,active,2021-12-24T07:28:49.363Z,AG
FSADT1 Old Growth,Old Growth Forest Deferral Field Verification,active,2022-03-02T03:45:31.603Z,FLNR
Common Object Management Service,A microservice for managing and sharing s3 objects with a JWT based user access control layer,active,2022-01-26T06:44:33.524Z,ENV
TransAction,"The TransAction is a workplace healthy challenge website that allows staffs of the MoTI to participate in individual or group physical activities, record the duration of the activities they engage in within a specific period of time. ",active,2021-02-10T01:51:23.535Z,TRAN
Single Signon,RedHat Single SignOn (Keycloak),active,2021-01-07T02:49:50.672Z,CITZ
Tantalis CDOGS Integration,"Integration between Tantalis (Crown Land Registry) and IITD common document generation service (CDOGS). Current Doc Gen solution is based on server and client side word macros. Regular disruption to users can take place due to age of components and impact from windows updates, existing solution requires replacement.",active,2022-02-11T03:11:47.973Z,FLNR
BCTW,The BC Telemetry Warehouse (BCTW) is the authoritative source for all provincial telemetry information and will be the sole source for both ministry staff and third parties.,active,2021-01-20T06:21:11.227Z,ENV
Tracks,"Tracks, formerly known as the Tenured Recreational Activity on Crownland Knowledge System (TRACKS), has been created to understand the impacts from recreational commercial operations on tenured land to species at risk and potential species at risk.",active,2021-02-04T07:27:56.646Z,ENV
cMF virtual assistant API,Enables the connection between Confluence and DialogFlow,active,2021-01-22T05:06:39.500Z,HLTH
Personal Property Registry,"Application used to register leans. 

This migration should be very fast with 2 weeks as the existing namespace has only prototypes.",active,2021-02-03T07:12:08.533Z,CITZ
CSB Traffic Courts Online,"This project will host portals, API  and integration components as a part of the Online Traffic Courts solution being offered by the Court Services Branch. ",active,2021-01-20T08:22:04.330Z,AG
CAPS Analytics Gateway,A gateway service to the Snowplow analytics service for BCGov OpenShift projects,active,2021-01-05T03:33:25.386Z,CITZ
